word,kana,yomi,conj,base,nai,nakatta,masu,te,ta,con,imp,vol,pot
愛する,あいする,aisuru,サ行変格,愛する,愛しない,愛しなかった,愛します,愛して,愛した,愛すれば,愛しろ,愛しよう,愛せる
会う,あう,au,五段-ワア行,会う,会わない,会わなかった,会います,会って,会った,会えば,会え,会おう,会える
合う,あう,au,五段-ワア行,合う,合わない,合わなかった,合います,合って,合った,合えば,合え,合おう,合える
仰ぎ見る,あおぎみる,aogimiru,上一段-マ行,仰ぎ見る,仰ぎ見ない,仰ぎ見なかった,仰ぎ見ます,仰ぎ見て,仰ぎ見た,仰ぎ見れば,仰ぎ見ろ,仰ぎ見よう,仰ぎ見られる
仰ぐ,あおぐ,aogu,五段-ガ行,仰ぐ,仰がない,仰がなかった,仰ぎます,仰いで,仰いだ,仰げば,仰げ,仰ごう,仰げる
煽る,あおる,aoru,五段-ラ行,煽る,煽らない,煽らなかった,煽ります,煽って,煽った,煽れば,煽れ,煽ろう,煽れる
明かす,あかす,akasu,五段-サ行,明かす,明かさない,明かさなかった,明かします,明かして,明かした,明かせば,明かせ,明かそう,明かせる
赤らめる,あからめる,akarameru,下一段-マ行,赤らめる,赤らめない,赤らめなかった,赤らめます,赤らめて,赤らめた,赤らめれば,赤らめろ,赤らめよう,赤らめられる
足掻く,あがく,agaku,五段-カ行,足掻く,足掻かない,足掻かなかった,足掻きます,足掻いて,足掻いた,足掻けば,足掻け,足掻こう,足掻ける
崇める,あがめる,agameru,下一段-マ行,崇める,崇めない,崇めなかった,崇めます,崇めて,崇めた,崇めれば,崇めろ,崇めよう,崇められる
上がり込む,あがりこむ,agarikomu,五段-マ行,上がり込む,上がり込まない,上がり込まなかった,上がり込みます,上がり込んで,上がり込んだ,上がり込めば,上がり込め,上がり込もう,上がり込める
上がる,あがる,agaru,五段-ラ行,上がる,上がらない,上がらなかった,上がります,上がって,上がった,上がれば,上がれ,上がろう,
諦める,あきらめる,akirameru,下一段-マ行,諦める,諦めない,諦めなかった,諦めます,諦めて,諦めた,諦めれば,諦めろ,諦めよう,諦められる
呆れる,あきれる,akireru,下一段-ラ行,呆れる,呆れない,呆れなかった,呆れます,呆れて,呆れた,呆れれば,呆れろ,呆れよう,呆れられる
明く,あく,aku,五段-カ行,明く,明かない,明かなかった,明きます,明いて,明いた,明けば,明け,明こう,明ける
空く,あく,aku,五段-カ行,空く,空かない,空かなかった,空きます,空いて,空いた,空けば,空け,空こう,空ける
明け暮れる,あけくれる,akekureru,下一段-ラ行,明け暮れる,明け暮れない,明け暮れなかった,明け暮れます,明け暮れて,明け暮れた,明け暮れれば,明け暮れろ,明け暮れよう,明け暮れられる
明ける,あける,akeru,下一段-カ行,明ける,明けない,明けなかった,明けます,明けて,明けた,明ければ,明けろ,明けよう,明けられる
空ける,あける,akeru,下一段-カ行,空ける,空けない,空けなかった,空けます,空けて,空けた,空ければ,空けろ,空けよう,空けられる
開ける,あける,akeru,下一段-カ行,開ける,開けない,開けなかった,開けます,開けて,開けた,開ければ,開けろ,開けよう,開けられる
明け渡す,あけわたす,akewatasu,五段-サ行,明け渡す,明け渡さない,明け渡さなかった,明け渡します,明け渡して,明け渡した,明け渡せば,明け渡せ,明け渡そう,明け渡せる
上げる,あげる,ageru,下一段-ガ行,上げる,上げない,上げなかった,上げます,上げて,上げた,上げれば,上げろ,上げよう,上げられる
憧れる,あこがれる,akogareru,下一段-ラ行,憧れる,憧れない,憧れなかった,憧れます,憧れて,憧れた,憧れれば,憧れろ,憧れよう,憧れられる
嘲笑う,あざけわらう,azakewarau,五段-ワア行,嘲笑う,嘲笑わない,嘲笑わなかった,嘲笑います,嘲笑って,嘲笑った,嘲笑えば,嘲笑え,嘲笑おう,嘲笑える
欺く,あざむく,azamuku,五段-カ行,欺く,欺かない,欺かなかった,欺きます,欺いて,欺いた,欺けば,欺け,欺こう,欺ける
あしらう,あしらう,ashirau,五段-ワア行,あしらう,あしらわない,あしらわなかった,あしらいます,あしらって,あしらった,あしらえば,あしらえ,あしらおう,あしらえる
