accent,kanji,yomi,english
あ\い,愛,あい,
あ/いかぎ,合鍵,あいかぎ,
あ/いかた,相方,あいかた,
あ/いかわらず,相変わらず,あいかわらず,
あ/いき\どう,合気道,あいきどう,
あ/いけん,愛犬,あいけん,
あ/いこ,相子,あいこ,
あ/いこう,愛好,あいこう,
あ/いこ\うしゃ,愛好者,あいこうしゃ,
あ/いこく,愛国,あいこく,
あ/いこく\しゃ,愛国者,あいこくしゃ,
あ/いこく\しん,愛国心,あいこくしん,
あ/いこ\とば,合言葉,あいことば,
あ/いさい,愛妻,あいさい,
あ\いさつ,挨拶,あいさつ,
あ/いしゃ,愛車,あいしゃ,
あ/いしょ\う,相性,あいしょう,
あ/いしょう,愛称,あいしょう,
あ/いじょう,愛情,あいじょう,
あ/いじん,愛人,あいじん,
あ\いず,合図,あいず,
あ/いせき,相席,あいせき,
あ/いそ\う,愛想,あいそう,
あ/いだ,間,あいだ,
あ/いだがら,間柄,あいだがら,
あ\いち,愛知,あいち,
あ/いち\けん,愛知県,あいちけん,
あ/いちゃく,愛着,あいちゃく,
あ/いつ,,あいつ,
あ/いづち,相槌,あいづち,
あ/いて\,相手,あいて,
あ/いどく,愛読,あいどく,
あ/いのり,相乗り,あいのり,
あ/いべや,相部屋,あいべや,
あ/いぼう,相棒,あいぼう,
あ/いま,合間,あいま,
あ/いまい,曖昧,あいまい,
あ/いよう,愛用,あいよう,
あ/いらし\い,愛らしい,あいらしい,
あ\う,会う・合う・遭う,あう,
あ\えて,敢て,あえて,
あ\お,青,あお,
あ/お\い,青い,あおい,
あ/おい,青井・蒼井,あおい,
あ/おいろ,青色,あおいろ,
あ/おき,青木,あおき,
あ/おし\んごう,青信号,あおしんごう,
あ/おぞ\ら,青空,あおぞら,
あ/おた,青田,あおた,
あ/お\もり,青森,あおもり,
あ/おもり\けん,青森県,あおもりけん,
あ/おもり\し,青森市,あおもりし,
あ/お\やま,青山,あおやま,
あ/お\る,煽る,あおる,
あ/か\,垢,あか,
あ\か,赤,あか,
あ/かい,赤い,あかい,
あ/かいろ,赤色,あかいろ,
あ/かご,赤子,あかご,
あ/かし,証,あかし,
あ/かし\んごう,赤信号,あかしんごう,
あ/かじ,赤字,あかじ,
あ/かす,明かす,あかす,
あ\かちゃん,赤ちゃん,あかちゃん,
あ/かてん,赤点,あかてん,
あ/かみ,赤身,あかみ,
あ/かみそ,赤味噌,あかみそ,
あ/からさま,,あからさま,
あ/かり,明かり,あかり,
あ/かるい,明るい,あかるい,
あ/かんぼう,赤ん坊,あかんぼう,
あ/かワ\イン,赤wine,あかワイン,
あ/が\く,足掻く,あがく,
あ/がり\おり,上がり降り,あがりおり,
あ/がる,上がる,あがる,
あ/き,明き・空き,あき,
あ\き,秋,あき,
あ/き\,飽き,あき,
あ/きあ\き,飽き飽き,あきあき,
あ/きかん,空き缶,あきかん,
あ/きしょ\う,飽き性,あきしょう,
あ/きじ\かん,空き時間,あきじかん,
あ/きす,空き巣,あきす,
あ/きぞ\ら,秋空,あきぞら,
あ\きた,秋田,あきた,
あ\きた,秋田,あきた,
あ/きた\けん,秋田県,あきたけん,
あ/きた\し,秋田市,あきたし,
あ/きち,空き地,あきち,
あ/きっぽ\い,飽きっぽい,あきっぽい,
あ/き\ない,商い,あきない,
あ/きは\ばら,秋葉原,あきはばら,
あ/きばけい,アキバ系,あきばけい,
あ/きばこ,空き箱,あきばこ,
あ/きびん,空き瓶,あきびん,
あ/きへや,空き部屋,あきへや,
あ/きや,空き家,あきや,
あ/き\らか,明らか,あきらか,
あ/きらめ\る,諦める,あきらめる,
あ/き\る,飽きる,あきる,
あ/きれる,呆れる,あきれる,
あ/く,開く,あく,
あ\く,悪,あく,
あ/くしつ,悪質,あくしつ,
あ\くしゅ,握手,あくしゅ,
あ/くしゅう,悪臭,あくしゅう,
あ/くしゅ\み,悪趣味,あくしゅみ,
あ/くじゅ\んかん,悪循環,あくじゅんかん,
あ/くじょ\うけん,悪条件,あくじょうけん,
あ/くにん,悪人,あくにん,
あ/くび,欠伸,あくび,
あ\くま,悪魔,あくま,
あ\くむ,悪夢,あくむ,
あ/けっぱなし,開けっ放し,あけっぱなし,
あ/ける,開ける・明ける,あける,
あ/げもの,揚げ物,あげもの,
あ/げる,上げる・揚げる,あげる,
あ/こがれ,憧れ,あこがれ,
あ/こがれる,憧れる,あこがれる,
あ/ご,顎,あご,
あ\さ,朝,あさ,
あ/さい,浅い,あさい,
あ/さが\えり,朝帰り,あさがえり,
あ/さくさ,浅草,あさくさ,
あ/さご\はん,朝ご飯,あさごはん,
あ/さ\って,明後日,あさって,
あ/さね\ぼう,朝寝坊,あさねぼう,
あ\さばん,朝晩,あさばん,
あ\さひ,朝日,あさひ,
あ/さひ\かわ,旭川,あさひかわ,
あ/さひかわ\し,旭川市,あさひかわし,
あ/さまし\い,浅ましい,あさましい,
あ/さめし,朝飯,あさめし,
あ/さめしま\え,朝飯前,あさめしまえ,
あ/ざ\,痣,あざ,
あ/ざ\やか,鮮やか,あざやか,
あ/し\,足,あし,
あ/しあ\と,足跡,あしあと,
あ/しお\と,足音,あしおと,
あ/しく\び,足首,あしくび,
あ/しこ\し,足腰,あしこし,
あ/した\,明日,あした,
あ/しの\うら,足の裏,あしのうら,
あ/しば\,足場,あしば,
あ/しぶ\み,足踏み,あしぶみ,
あ/しも\と,足元,あしもと,
あ/しゆ,足湯,あしゆ,
あ/じ,味,あじ,
あ/じけな\い,味気ない,あじけない,
あ/じさい,紫陽花,あじさい,
あ/じしお,味塩,あじしお,
あ/じつけ,味付け,あじつけ,
あ/じみ,味見,あじみ,
あ/す\,明日,あす,
あ/ずかりもの,預かり物,あずかりもの,
あ/ずか\る,預かる,あずかる,
あ/ずき\,小豆,あずき,
あ/ずけ\る,預かる,あずける,
あ\ずま,東,あずま,
あ\せ,汗,あせ,
あ/せくさ\い,汗臭い,あせくさい,
あ/せ\る,焦る,あせる,
あ/ぜん,唖然,あぜん,
あ\そう,麻生,あそう,
あ/そこ,,あそこ,
あ/そび,遊び,あそび,
あ/そびあ\いて,遊び相手,あそびあいて,
あ/そぶ,遊ぶ,あそぶ,
あ/たえる,与える,あたえる,
あ/たし,,あたし,
あ/たたか\い,暖かい,あたたかい,
あ/たたか\い,暖かい・温かい,あたたかい,
あ/たたま\る,温まる,あたたまる,
あ/たため\る,温める,あたためる,
あ/たま\,頭,あたま,
あ/たまきん,頭金,あたまきん,
あ/たらし\い,新しい,あたらしい,
あ\たり,辺り,あたり,
あ/たり,当たり,あたり,
あ/たりまえ,当たり前,あたりまえ,
あ/たる,当たる,あたる,
あ/ち\こち,彼方此方,あちこち,
あ/ちら,,あちら,
あ/っか,悪化,あっか,
あ/っかん,圧巻,あっかん,
あ/っけな\い,呆気ない,あっけない,
あ/っさ\り,,あっさり,
あ/っしゅく,圧縮,あっしゅく,
あ/っせん,斡旋,あっせん,
あ/ったか\い,暖かい・温かい,あったかい,
あ/ったま\る,温まる,あったまる,
あ/っため\る,温める,あっためる,
あ/っち\,,あっち,
あ/っち\こっち,,あっちこっち,
あ/っとう,圧倒,あっとう,
あ/っとうてき,圧倒的,あっとうてき,
あ/っぱく,圧迫,あっぱく,
あ/つあげ,厚揚げ,あつあげ,
あ/つあつ,熱々,あつあつ,
あ/つ\い,暑い・熱い,あつい,
あ/つい,厚い,あつい,
あ/つかい,扱い,あつかい,
あ/つかう,扱う,あつかう,
あ/つがり\,暑がり,あつがり,
あ/つが\る,暑がる,あつがる,
あ/つぎ,厚着,あつぎ,
あ/つげ\しょう,厚化粧,あつげしょう,
あ/つさ,厚さ,あつさ,
あ\つさ,暑さ・熱さ,あつさ,
あ/つま\り,集まり,あつまり,
あ/つま\る,集まる,あつまる,
あ/つめ\る,集める,あつめる,
あ/つ\りょく,圧力,あつりょく,
あ/つれき,軋轢,あつれき,
あ/て,当て,あて,
あ/てさき,宛先,あてさき,
あ/てじ,当て字,あてじ,
あ/てな,宛名,あてな,
あ/てにげ,当て逃げ,あてにげ,
あ/てはま\る,当て嵌まる,あてはまる,
あ/てはめ\る,当て嵌める,あてはめる,
あ/てる,当てる,あてる,
あ\と,後・跡,あと,
あ/と\ち,跡地,あとち,
あ/と\つぎ,跡継ぎ,あとつぎ,
あ/と\とり,跡取り,あととり,
あ/とば\らい,後払い,あとばらい,
あ/とま\わし,後回し,あとまわし,
あ/とも\どり,後戻り,あともどり,
あ/どけな\い,,あどけない,
あ/な\,穴,あな,
あ/なご,穴子,あなご,
あ/な\た,貴方,あなた,
あ/なたがた,貴方方,あなたがた,
あ/など\る,侮る,あなどる,
あ/なば,穴場,あなば,
あ\に,兄,あに,
あ\にき,兄貴,あにき,
あ/ね,姉,あね,
あ/ねさんにょ\うぼう,姉さん女房,あねさんにょうぼう,
あ/の,,あの,
あ/のかた\,あの方,あのかた,
あ/のと\き,あの時,あのとき,
あ/の\ひと,あの人,あのひと,
あ/のよ,あの世,あのよ,
あ/ば\く,暴く,あばく,
あ/ばら,肋,あばら,
あ/ばらぼね,肋骨,あばらぼね,
あ/ばれる,暴れる,あばれる,
あ/ひる,家鴨,あひる,
あ/びせる,浴びせる,あびせる,
あ/びる,浴びる,あびる,
あ/ふれ\る,溢れる,あふれる,
あ/ぶない,危ない,あぶない,
あ/ぶら,油,あぶら,
あ/ぶらあ\せ,脂汗,あぶらあせ,
あ/ぶらい\ため,油炒め,あぶらいため,
あ/ぶら\え,油絵,あぶらえ,
あ/ぶらっこ\い,脂っ濃い,あぶらっこい,
あ/ぶ\る,炙る,あぶる,
あ/べ,阿部・安倍,あべ,
あ/べこべ,,あべこべ,
あ/ほ\,,あほ,
あ/まい,甘い,あまい,
あ/まえ,甘え,あまえ,
あ/まえる,甘える,あまえる,
あ/まえんぼう,甘えん坊,あまえんぼう,
あ/まおと,雨音,あまおと,
あ/まから\い,甘辛い,あまからい,
あ/まが\さ,雨傘,あまがさ,
あ/まがさき,尼崎,あまがさき,
あ/まがさき\し,尼崎市,あまがさきし,
あ/まが\っぱ,雨合羽,あまがっぱ,
あ/ま\ぐ,雨具,あまぐ,
あ/ま\ぐつ,雨靴,あまぐつ,
あ/ま\ぐり,甘栗,あまぐり,
あ/まずっぱ\い,甘酸っぱい,あまずっぱい,
あ/まとう,甘党,あまとう,
あ/ま\ど,雨戸,あまど,
あ/まの\がわ,天の川,あまのがわ,
あ/まの\じゃく,天の邪鬼,あまのじゃく,
あ/ま\みず,雨水,あまみず,
あ/ま\もり,雨漏り,あまもり,
あ/まやか\す,甘やかす,あまやかす,
あ/まや\どり,雨宿り,あまやどり,
あ/まり,余り,あまり,
