accent,word,yomi,english
ア\ア,嗚呼,ああ,
ア/アイウ,ああいう,ああいう,
ア\イ,藍,あい,
ア\イ,愛,あい,
ア/イアイガ\サ,相合傘,あいあいがさ,
ア/イイク,愛育,あいいく,
ア\イイ/レナイ,相容れない,あいいれない,
ア/イイロ,藍色,あいいろ,
ア/イイン,愛飲,あいいん,
ア/イイ\ンシャ,愛飲者,あいいんしゃ,
ア/イウチ,相打ち,あいうち,
ア/イエンカ,愛煙家,あいえんか,
ア/イオイ,相生,あいおい,
ア/イオワ,アイオワ,あいおわ,Iowa
ア\イカ,哀歌,あいか,
ア/イカギ,合鍵,あいかぎ,
ア/イカタ,相方,あいかた,
ア/イカワラズ,相変わらず,あいかわらず,
ア/イカン,哀感,あいかん,
ア/イガモ,合鴨,あいがも,
ア/イガン,愛玩,あいがん,
ア/イガン,哀願,あいがん,
ア/イガンド\ウブツ,愛玩動物,あいがんどうぶつ,
ア/イキ\ドウ,合気道,あいきどう,
ア/イキャク,相客,あいきゃく,
ア/イキョ\ウ,愛嬌,あいきょう,
ア/イキョ\ウシン,愛郷心,あいきょうしん,
ア/イキョウモノ,愛嬌者,あいきょうもの,
ア/イギン,愛吟,あいぎん,
ア/イクチ,合い口,あいくち,
ア/イクルシ\イ,愛くるしい,あいくるしい,
ア/イケン,愛犬,あいけん,
ア/イケンカ,愛犬家,あいけんか,
ア/イコ,相子,あいこ,
ア/イコウ,愛好,あいこう,
ア/イコ\ウシャ,愛好者,あいこうしゃ,
ア/イコウシ\ン,愛校心,あいこうしん,
ア/イコク,愛国,あいこく,
ア/イコク\シャ,愛国者,あいこくしゃ,
ア/イコクシ\ュギ,愛国主義,あいこくしゅぎ,
ア/イコク\シン,愛国心,あいこくしん,
ア/イコ\トバ,合言葉,あいことば,
ア\イコン,アイコン,あいこん,icon
ア/イコ\ンタクト,アイコンタクト,あいこんたくと,eye contact
ア\イゴ,愛護,あいご,
ア/イサイ,愛妻,あいさい,
ア/イサイカ,愛妻家,あいさいか,
ア\イサツ,挨拶,あいさつ,
ア/イシャ,愛車,あいしゃ,
ア/イシャセ\イシン,愛社精神,あいしゃせいしん,
ア/イシャ\ドー,アイシャドー,あいしゃどー,eye shadow
ア/イシュウ,哀愁,あいしゅう,
ア/イショ,愛書,あいしょ,
ア/イショウ,愛称,あいしょう,
ア/イショ\ウ,相性,あいしょう,
ア/イシング,アイシング,あいしんぐ,icing
ア/イシ\ー,アイシー,あいしー,IC
ア/イシーレコ\ーダー,アイシーレコーダー,あいしーれこーだー,IC recorder
ア\イジ,愛児,あいじ,
ア/イジョウ,愛情,あいじょう,
ア/イジン,愛人,あいじん,
ア\イス,アイス,あいす,ice
ア/イスキャ\ンディー,アイスキャンディー,あいすきゃんでぃー,ice candy
ア/イスクリ\ーム,アイスクリーム,あいすくりーむ,ice cream
ア/イスコーヒ\ー,アイスコーヒー,あいすこーひー,ice coffee
ア/イスショ\ー,アイスショー,あいすしょー,ice show
ア/イススケ\ート,アイススケート,あいすすけーと,ice skate
