lemma,rank,lForm,pos,core_pmw
の,1,ノ,助詞,50689.8
に,2,ニ,助詞,33757.98
て,3,テ,助詞,29302.33
は,4,ワ,助詞,28812.32
だ,5,ダ,助動詞,25904.13
を,6,オ,助詞,30348.85
た,7,タ,助動詞,26035.29
する,8,スル,動詞,25545.27
が,9,ガ,助詞,23266.45
と,10,ト,助詞,20646.07
で,11,デ,助詞,13424.32
も,12,モ,助詞,11127.27
いる,13,イル,動詞,10530.7
ます,14,マス,助動詞,7084.22
の,15,ノ,助詞,8506.89
ある,16,アル,動詞,7144.33
です,17,デス,助動詞,6401.12
言う,18,イウ,動詞,5633.31
事,19,コト,名詞,5812.74
ない,20,ナイ,助動詞,5096.85
れる,21,レル,助動詞,5599.61
なる,22,ナル,動詞,4747.1
一,23,イチ,名詞,5480.3
無い,24,ナイ,形容詞,3587.65
から,25,カラ,助詞,4129.58
が,26,ガ,助詞,3605.87
か,27,カ,助詞,2930.96
二,28,ニ,名詞,4523.96
その,29,ソノ,連体詞,2603.07
様,30,ヨウ,形状詞,2593.97
か,31,カ,助詞,2696.89
三,32,サン,名詞,3747.04
十,33,ジュウ,名詞,3946.51
ず,34,ズ,助動詞,2123.08
この,35,コノ,連体詞,2075.72
物,36,モノ,名詞,1821.6
的,37,テキ,接尾辞,2653.17
それ,38,ソレ,代名詞,1541.08
御,39,オ,接頭辞,1814.32
と,40,ト,助詞,2083.01
や,41,ヤ,助詞,3064.85
年,42,ネン,名詞,3200.56
来る,43,クル,動詞,1962.78
五,44,ゴ,名詞,2619.47
ば,45,バ,助詞,1787.91
思う,46,オモウ,動詞,1585.71
見る,47,ミル,動詞,1898.11
行く,48,イク,動詞,1744.19
四,49,ヨン,名詞,2467.36
出来る,50,デキル,動詞,1885.36
これ,51,コレ,代名詞,1406.28
良い,52,ヨイ,形容詞,1634.89
者,53,シャ,接尾辞,3060.3
私,54,ワタクシ,代名詞,1298.8
から,55,カラ,助詞,1411.74
など,56,ナド,助詞,2759.73
ね,57,ネ,助詞,1275.12
られる,58,ラレル,助動詞,1601.19
よ,59,ヨ,助詞,1224.12
さん,60,サン,接尾辞,2197.77
因る,61,ヨル,動詞,1772.42
何,62,ナニ,代名詞,1271.48
まで,63,マデ,助詞,1628.51
時,64,トキ,名詞,1072.93
六,65,ロク,名詞,1837.09
二十,66,ニジュウ,名詞,2011.96
人,67,ヒト,名詞,1549.27
為,68,タメ,名詞,1924.53
月,69,ガツ,名詞,1919.06
八,70,ハチ,名詞,1620.32
へ,71,ヘ,助詞,1405.37
てる,72,テル,助動詞,1120.29
第,73,ダイ,接頭辞,908.98
そう,74,ソウ,副詞,747.77
七,75,ナナ,名詞,1411.74
九,76,キュウ,名詞,1251.44
だけ,77,ダケ,助詞,1013.72
日本,78,ニッポン,名詞,1556.56
達,79,タチ,接尾辞,1021.92
たい,80,タイ,助動詞,975.47
どう,81,ドウ,副詞,887.12
中,82,ナカ,名詞,884.39
せる,83,セル,助動詞,956.34
又,84,マタ,接続詞,956.34
つく,85,ツク,動詞,1134.86
千,86,セン,名詞,812.44
自分,87,ジブン,名詞,863.44
所,88,トコロ,名詞,753.23
三十,89,サンジュウ,名詞,1041.05
零,90,レイ,名詞,1460.93
って,91,ッテ,助詞,729.55
考える,92,カンガエル,動詞,764.16
仕舞う,93,シマウ,動詞,747.77
つ,94,ツ,接尾辞,734.11
けれど,95,ケレド,助詞,616.61
方,96,ホウ,名詞,462.69
場合,97,バアイ,名詞,595.66
な,98,ナ,助詞,667.62
今,99,イマ,名詞,786.02
持つ,100,モツ,動詞,678.55
彼,101,カレ,代名詞,439.92
遣る,102,ヤル,動詞,673.08
．,103,テン,名詞,867.08
等,104,トウ,接尾辞,1797.92
分かる,105,ワカル,動詞,678.55
日,106,ニチ,名詞,1343.43
居る,107,オル,動詞,513.69
於く,108,オク,動詞,1081.12
五十,109,ゴジュウ,名詞,806.97
出る,110,デル,動詞,618.43
前,111,マエ,名詞,728.64
行う,112,オコナウ,動詞,1102.07
取る,113,トル,動詞,643.94
たり,114,タリ,助詞,609.33
等,115,ラ,接尾辞,701.32
円,116,エン,名詞,1164.01
万,117,マン,名詞,1115.73
性,118,セイ,接尾辞,839.76
九百,119,キュウヒャク,名詞,504.58
訳,120,ワケ,名詞,384.36
ながら,121,ナガラ,助詞,551.95
時,122,ジ,名詞,627.54
さ,123,サ,接尾辞,654.87
百,124,ヒャク,名詞,726.82
下さる,125,クダサル,動詞,510.05
然し,126,シカシ,接続詞,534.64
問題,127,モンダイ,名詞,729.55
必要,128,ヒツヨウ,名詞,743.21
対する,129,タイスル,動詞,875.28
