タイプ,日本語,タイ語,sense
擬音,ハックション,ฮัดเช่ย,เสียงจาม
擬音,オギャー,อุแว้,เสียงร้องเด็กทารก
擬音,ニャー,"เมี้ยว, แง้ว",เสียงแมว
擬音,ワンワン,ฮ่ง ๆ,เสียงหมา
擬音,コケコッコー,เอ้กอี๊เอ้กเอ้ก,เสียงไก่
擬音,ブーブー,อู๊ด ๆ,เสียงหมู
擬音,ヒヒーン,ฮี่ ๆ,เสียงม้า
擬音,パオーン,แปร๋น ๆ,เสียงช้าง
擬音,ウキー,เจี๊ยก ๆ,เสียงลิง
擬音,カーカー,กา,เสียงกา
擬音,ガーガー,ก้าบ ๆ,เสียงเป็ด
擬音,ガオー,"โคร่ง, โฮก",เสียงเสือ หมี ฯลฯ
擬音,チュー,จี๊ด ๆ,เสียงหนู
擬音,ゲロゲロ,อ๊บ ๆ,เสียงกบ
擬音,チュンチュン,จิ๊บ ๆ,เสียงนกกระจอก
擬音,ブーンブーン,หึ่ง ๆ,เสียงแมลงบิน
擬音,ガシャーン,เพล้ง,เสียงแก้วแตก
擬音,ガタガタ,คร่อกแคร่ก,"เสียงวัตถุสั่น, โยกเยก"
擬音,ガヤガヤ,แซ่ด ๆ,"โวกเวกโวยวาย, พูดคุยจอแจ"
擬音,カラカラ,,เสียงกระป๋องกลิ้น
擬音,ガンガン,ปัง ๆ,การทำงานของเครื่องจักร / เสียงค้อน
擬音,キキー,พรืด,เสียงเบรกรถ
擬音,ギリギリ,กรอด ๆ,เสียงนอนกัดฟัน
擬音,グツグツ,ปุด ๆ,เสียงต้มน้ำเดือด
擬音,グーグー,จ๊อก ๆ,เสียงท้องร้อง (หิว)
擬音,ゴクゴク,อึก ๆ,(ดื่ม) เสียงดังอึกอึก
擬音,ゴシゴシ,ฉีบ ๆ,เสียงถูหรือขัด
擬音,コホコホ,ค่อก ๆ แค่ก ๆ,เสียงไอ
擬音,コロコロ,"ขลุก ๆ, กลิ้ง ๆ",กลิ้นโกโระโกโระ
擬音,ゴロゴロ,ครืน ๆ,"เสียงฟ้าร้องคลืนๆ, ปวดท้อง, ลากของ"
擬音,コンコン,ก๊อก ๆ,เสียงเคาะ
擬音,コンコン,ค่อก ๆ แค่ก ๆ,เสียงไอ
擬音,ザーザー,ซู่ซ่า,"ฝนตกช่าๆ, เสียงช่าในวิทยุหรือทีวี"
擬音,サラサラ,,"เทผง, น้ำไหลในลำธาร"
擬音,ジュージュー,,เสียงปิ้ง/ผัดอาหาร
擬音,ドカーン,"บูม, ตูม",เสียงระเบิด
擬音,ドン,ตึง,เสียงชน
擬音,バシーン,เพี้ยะ,เสียงตบหน้า
擬音,バターン,ปัง,เสียงกระทบปั้ง
擬音,ビュービュー,,เสียงลมแรง
擬音,ブクブク,บุ๋ม ๆ,เสียงจมน้ำ
擬音,プシュー,ฟู่,เสียงน้ำพ่น
擬音,ブーン,บรืน,เสียงรถวิ่ง
擬音,プーッ,ปู้ด,เสียงตด
擬音,ポカッ,ตุบ,เสียงชกเบา ๆ
擬音,ポキッ,เป๊าะ,เสียงหัก
擬音,モグモグ,ง่ำ ๆ,เสียงเคี้ยว
擬態,アッサリ,,"ทำเสร็จโดยรวดเร็ว, รสจืด"
擬態,ウトウト,,"ซึมกะทือ, ง่วงเหงา"
擬態,ウロウロ,ป้วนเปี้ยน,"ป้วนเปี้ยน, วนไปวนมา"
擬態,オドオド,,ไม่กล้า
擬態,ガタガタ,พึมพำ ๆ,"บ่นง่อนแง่น, พรุมพรำ"
擬態,カラカラ,ผาก,"แห้งผาก, จนกรอบ"
擬態,ガラガラ,คว้าง,"โหรงเหรง, มีที่ว่างเยอะ"
擬態,ガラガラ,,น้ำเสียงแหบแห้ง
擬態,ガラーン,คว้าง,โหรงเหรง
擬態,ガンガン,,"สภาพปวดหัว, แฮ้ง"
擬態,ギッシリ,เบียดเสียด,"อัดแน่น, สภาพไม่มีที่ว่าง"
擬態,ギュウギュウ,เบียด,เบียด
擬態,ギュッ,หมับ,จับมือ
擬態,キョロキョロ,,ล่ก ๆ
擬態,キラキラ,"ปิ๊ง ๆ, ฟรุ้งฟริ้ง","ระยิบระยับ, เป็นประกาย"
擬態,ギリギリ,,"จวนเจียน, ฉิวเฉียด"
擬態,グサッ,สวบ,"เสียบ, แทง"
擬態,クスクス,คิกคัก,หัวเราะคิกๆ คักๆ
擬態,グズグズ,,"ชักช้า, อืดอาด"
擬態,グズグズ,พึมพำ,เสียงบ่นพึมพำ
擬態,グチグチ,พึมพำ,เสียงบ่นพึมพำ
擬態,グチャグチャ,,เละเทะ
擬態,グッ,กึด,"กําหมัด, ออกแรงเปิด"
擬態,グッスリ,,(หลับ)สนิท
擬態,クネクネ,,"สภาพที่โค้งงอ เช่น ถนนคดเคี้ยว, ตัวของงูที่บิดงอ"
擬態,クヨクヨ,แง,งอแง
擬態,グラグラ,โยกเยก,โยกเยก
擬態,クルクル,ติ้ว ๆ,สภาพหมุนติ้วๆ
擬態,グルグル,ติ้ว ๆ,หมุนไปรอบๆ
擬態,ゲッソリ,,"ผอมลง(เร็ว), หมดกำลังใจ"
擬態,ゲラゲラ,ก๊าก ๆ,หัวเราะฮ่าๆ บ้าไปแล้ว
擬態,コソコソ,ซุบซิบ ๆ,"กระซิบกระซาบ, อย่างเงียบ ๆ ลับ ๆ"
擬態,ゴソゴソ,ดุ่ย ๆ,"แอบขยับ, คลาน"
擬態,コッソリ,,"แอบ(ทำ), อย่างลับๆ, เงียบๆ"
擬態,ゴチャゴチャ,,"ระเกะระกะ, ไม่เป็นระเบียบ, มัวซัว"
擬態,コリコリ,กรุบ ๆ,แข็งแบบกระดูกอ่อน
擬態,ゴロゴロ,กลุก ๆ,(นอน)กลิ้งเกลือก
擬音,ザアザア,ซ่าซ่า,"เสียงฝนตกหนัก, เสียงน้ำไหลอย่างเชี่ยวกราก"
擬態,ササッ,ควับ,"ขยับไว, ทันทีทันใด"
擬態,サッ,ควับ,"ขยับไว, ทันทีทันใด"
擬態,サッサト,,ลงมือทำอย่างรวดเร็ว โดยไม่รีรอ
擬態,ザット,,"ทำอะไรคร่าว ๆ, การประมาณ"
